id,type,lat,lon,name,operator,capacity,socket_outlet_1_type,socket_outlet_1_power,socket_outlet_2_type,socket_outlet_2_power,access
12042245549,node,49.1881804,16.5860215,BVV hlavní vchod 3,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042245550,node,49.1882093,16.5860664,BVV hlavní vchod 2,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042297691,node,49.2020488,16.6106147,Brno Střed třída Kpt. Jaroše,Teplárny Brno,1,N/A,N/A,N/A,N/A,yes
12042372526,node,49.1885894,16.6147189,Galerie Vaňkovka,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042372527,node,49.1884971,16.6147206,Galerie Vaňkovka,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042372528,node,49.1885431,16.6147182,Galerie Vaňkovka,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042372529,node,49.1945703,16.6055463,Domini park 1,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12042372530,node,49.194549,16.6055463,Domini park 2,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442076,node,49.1377631,16.6347763,Olympia 3,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442077,node,49.1364676,16.6315461,Olympia 1,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442078,node,49.137761,16.6348439,Olympia 2,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442079,node,49.1960009,16.6232392,Špitálka,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442080,node,49.189592,16.659563,Židenice Krásného,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442081,node,49.1909033,16.6663158,SAKO Jedovnická,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442082,node,49.2037473,16.6674707,Líšeň Vlkova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442083,node,49.205445,16.679826,Líšeň Novolíšeňská,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442084,node,49.2385498,16.5882208,Řečkovice Novoměstská,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12044442085,node,49.2422078,16.5732934,Medlánky V Újezdech,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12051736544,node,49.2257841,16.5776376,ejon,N/A,2,N/A,N/A,N/A,N/A,private
12051736545,node,49.2257177,16.5774284,ejon,N/A,2,N/A,N/A,N/A,N/A,private
12068692713,node,49.2094484,16.616491,Brno Sever Zemědělská,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12068692714,node,49.1976244,16.6186031,MIG POINT,N/A,2,N/A,N/A,N/A,N/A,customers
