id,type,lat,lon,name,operator,capacity,ref,authentication,fee,payment:cards,payment:credit_cards,payment:cash,socket_outlet:type,socket_outlet:count,socket_outlet:max_power,opening_hours,access,website,phone,socket_outlet:1:type,socket_outlet:1:power,socket_outlet:1:current,socket_outlet:1:voltage,socket_outlet:2:type,socket_outlet:2:power,socket_outlet:2:current,socket_outlet:2:voltage,socket_outlet:3:type,socket_outlet:3:power,socket_outlet:3:current,socket_outlet:3:voltage,socket_outlet:4:type,socket_outlet:4:power,socket_outlet:4:current,socket_outlet:4:voltage,socket_outlet:5:type,socket_outlet:5:power,socket_outlet:5:current,socket_outlet:5:voltage,socket_outlet:6:type,socket_outlet:6:power,socket_outlet:6:current,socket_outlet:6:voltage,socket_outlet:7:type,socket_outlet:7:power,socket_outlet:7:current,socket_outlet:7:voltage,socket_outlet:8:type,socket_outlet:8:power,socket_outlet:8:current,socket_outlet:8:voltage,socket_outlet:9:type,socket_outlet:9:power,socket_outlet:9:current,socket_outlet:9:voltage,socket_outlet:10:type,socket_outlet:10:power,socket_outlet:10:current,socket_outlet:10:voltage
12565743529,node,48.583832,12.0657925,N/A,N/A,4,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12623797208,node,48.5314011,12.0635577,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1861387599,node,48.5397791,12.1004013,N/A,Stadtwerke Landshut,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,24/7,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3134153790,node,48.5609418,12.1535917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3895697535,node,48.5397873,12.1562571,Stromtankstelle,Stadtwerke Landshut,2,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3941674590,node,48.5356964,12.1490472,E-Bike Ladestation Ländtor,Stadtwerke Landshut,3,N/A,N/A,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3971850044,node,48.5381266,12.1496188,N/A,Stadtwerke Landshut,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,N/A,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3971855573,node,48.5640469,12.1380649,N/A,Stadtwerke Landshut,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,24/7,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5162650030,node,48.5949531,12.1954975,N/A,ÜZW,1,N/A,N/A,no,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes,https://www.uezw-energie.de/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5481455311,node,48.5776639,12.1650124,N/A,N/A,1,N/A,N/A,yes,no,N/A,no,N/A,N/A,N/A,24/7,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6028298617,node,48.5661234,12.1007196,N/A,Smatrics,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6085847690,node,48.5772964,12.168517,N/A,ÜZW,2,N/A,N/A,yes,no,N/A,no,N/A,N/A,N/A,24/7,yes,https://www.uezw-energie.de/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6145583684,node,48.5771442,12.1712762,N/A,ÜZW Energie,2,N/A,N/A,yes,no,N/A,no,N/A,N/A,N/A,24/7,yes,https://www.uezw-energie.de/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6172790628,node,48.5526387,12.1032522,E-WALD,E-WALD,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7415770316,node,48.5489785,12.1351616,N/A,Stadtwerke Landshut,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,24/7,yes,https://www.stadtwerke-landshut.de/mobilitaet/e-tankstellen/,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7861035388,node,48.5300189,12.1584665,N/A,Stadtwerke Landshut,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,24/7,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8194117249,node,48.5461182,12.177489,N/A,Stadtwerke Landshut,4,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,24/7,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8254348776,node,48.564752,12.1612591,SPIE SAG GmbH,SPIE SAG GmbH,2,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8274762883,node,48.5292131,12.1459363,N/A,REWE Buchner,4,N/A,N/A,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8405672195,node,48.529043,12.1424797,N/A,ALDI,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8753098338,node,48.530672,12.146163,N/A,Stadtwerke Landshut,4,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,24/7,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9590613637,node,48.5436189,12.1543501,Parkplatz Edeka,Stadtwerke Landshut,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,24/7,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9590613638,node,48.538521,12.1454442,N/A,Stadtwerke Landshut,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,N/A,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9590613639,node,48.5409112,12.1627377,N/A,Stadtwerke Landshut,2,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9590613640,node,48.5532337,12.1778521,N/A,Stadtwerke Landshut,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,24/7,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9591582917,node,48.5229939,12.1467615,N/A,Stadtwerke Landshut,1,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9700998958,node,48.5561206,12.1965138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9809596616,node,48.5868988,12.1896414,N/A,Aldi,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,N/A,permissive,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10129032804,node,48.5866602,12.1893828,N/A,Shell,2,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10743433968,node,48.5647826,12.1668581,Üzw,ÜZW,2,N/A,N/A,yes,no,N/A,no,N/A,N/A,N/A,24/7,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10883661904,node,48.5524162,12.187838,N/A,N/A,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,24/7,yes,https://www.stadtwerke-landshut.de/mobilitaet/e-tankstellen/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11268597139,node,48.5490669,12.1483273,EnBW Hypernetz,EnBW Energie Baden-Württemberg AG,2,11840,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,24/7,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11460015602,node,48.5571363,12.1501857,N/A,BMW Group,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11517633076,node,48.5622535,12.1603739,Parkplatz R+F,ÜZW Energie,2,N/A,N/A,yes,no,N/A,no,N/A,N/A,N/A,24/7,customers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11518932167,node,48.5391504,12.1550821,N/A,Sparkasse Landshut,4,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11659848183,node,48.539825,12.1525244,N/A,Stadtwerke Landshut,1,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,N/A,yes,https://www.stadtwerke-landshut.de/mobilitaet/e-tankstellen/,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11737780181,node,48.5381398,12.1497249,N/A,Stadtwerke Landshut,5,N/A,N/A,no,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,http://www.stadtwerke-landshut.de/produkte-leistungen/strom/stromtankstellen.html,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11940120203,node,48.5369104,12.1556471,N/A,Stadtwerke Landshut,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,24/7,yes,https://www.stadtwerke-landshut.de/mobilitaet/e-tankstellen/,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11940158434,node,48.5401689,12.1458726,N/A,Stadtwerke Landshut,2,N/A,N/A,yes,yes,N/A,no,N/A,N/A,N/A,24/7,yes,https://www.stadtwerke-landshut.de/mobilitaet/e-tankstellen/,+49 800 8002109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
